exam_year,state,city,center_name,center_id,total_students,above_600_marks,above_700_marks,center_average_marks,center_median_marks,state_average_marks,state_median_marks,national_average_marks,national_median_marks,Ultra_High_Score_Ratio,High_Score_Ratio,Center_v_National_Gap,Center_v_State_Gap,Center_Std_Dev,Center_Skewness,Center_Kurtosis
2024,Uttar Pradesh,Bareilly,Madhavrao Scindia Public School,440302,851,27,0,215.46,162.0,192.71,137,217.16,163,0.0,0.03172737955346651,-1.6999999999999886,22.75,164.146,1.062,0.273
2024,Uttar Pradesh,Basti,Omni International School Sansarpur,442604,492,18,1,208.27,163.0,192.71,137,217.16,163,0.0020325203252032522,0.03861788617886179,-8.889999999999986,15.560000000000002,158.03,1.199,0.808
2024,Uttar Pradesh,Gorakhpur,Navals National Academy,440537,491,11,0,154.91,101.0,192.71,137,217.16,163,0.0,0.02240325865580448,-62.25,-37.80000000000001,147.088,1.733,2.544
2024,Uttar Pradesh,Kanpur,Pt D D U S D Vidyalaya Azad Nagar Kanpur Up,440705,939,43,3,243.9,193.0,192.71,137,217.16,163,0.003194888178913738,0.04898828541001065,26.74000000000001,51.19,171.267,0.823,-0.312
2024,Uttar Pradesh,Gorakhpur,Kendriya Vidyalaya No.I Gorakhpur,440508,586,14,0,208.41,153.5,192.71,137,217.16,163,0.0,0.023890784982935155,-8.75,15.699999999999989,154.953,1.057,0.319
2024,Uttar Pradesh,Kanpur,Kendriya Vidyalaya No.I Armapur Kanpur,440702,930,33,0,230.87,185.0,192.71,137,217.16,163,0.0,0.035483870967741936,13.710000000000008,38.16,165.59,0.908,-0.113
2024,Uttar Pradesh,Gorakhpur,Rpm Academy Rudrapur Kusmhi Gorakhpur Up,440530,459,10,0,148.58,94.0,192.71,137,217.16,163,0.0,0.02178649237472767,-68.57999999999998,-44.129999999999995,145.487,1.738,2.374
2024,Uttar Pradesh,Basti,Little Flower School,442603,614,24,0,207.88,160.0,192.71,137,217.16,163,0.0,0.03908794788273615,-9.280000000000001,15.169999999999987,162.509,1.139,0.547
2024,Uttar Pradesh,Aligarh,Our Lady Of Fatima Sr. Sec. School,441612,488,33,1,258.6,218.0,192.71,137,217.16,163,0.0020491803278688526,0.06967213114754098,41.440000000000026,65.89000000000001,178.815,0.804,-0.318
2024,Uttar Pradesh,Mau,Chandra Public School,444704,568,10,0,194.91,151.0,192.71,137,217.16,163,0.0,0.017605633802816902,-22.25,2.1999999999999886,142.382,1.21,0.962
2024,Uttar Pradesh,Kanpur,Kendriya Vidyalaya Oef Taigoar Road Kanpur,440734,424,12,0,215.07,159.5,192.71,137,217.16,163,0.0,0.02830188679245283,-2.0900000000000034,22.359999999999985,168.509,0.855,-0.293
2024,Uttar Pradesh,Gorakhpur,Guru Gorakhanath Vidyapeeth,440506,585,21,0,214.65,174.0,192.71,137,217.16,163,0.0,0.035897435897435895,-2.509999999999991,21.939999999999998,158.356,1.07,0.427
2024,Uttar Pradesh,Gorakhpur,Buddha Institute Of Technology,440501,708,26,0,224.11,170.5,192.71,137,217.16,163,0.0,0.03672316384180791,6.950000000000017,31.400000000000006,166.653,0.937,-0.145
2024,Uttar Pradesh,Kanpur,Nurture Intnl School Kachhar Kalyanpur Kanpur Up,440733,470,20,0,252.6,219.5,192.71,137,217.16,163,0.0,0.0425531914893617,35.44,59.889999999999986,181.246,0.555,-0.838
2024,Uttar Pradesh,Mau,Dcs Khandelwal P G College,444703,564,13,0,197.81,148.0,192.71,137,217.16,163,0.0,0.02304964539007092,-19.349999999999994,5.099999999999994,149.665,1.211,0.794
2024,Uttar Pradesh,Aligarh,G D Public School,441615,460,7,0,132.75,80.0,192.71,137,217.16,163,0.0,0.015217391304347827,-84.41,-59.96000000000001,135.389,1.975,3.445
2024,Uttar Pradesh,Moradabad,Aryans International School,444902,635,15,0,191.78,136.0,192.71,137,217.16,163,0.0,0.023622047244094488,-25.379999999999995,-0.9300000000000068,159.618,1.132,0.43
2024,Uttar Pradesh,Ballia,Sun Flower Public Chool,442202,491,15,0,202.09,152.0,192.71,137,217.16,163,0.0,0.03054989816700611,-15.069999999999993,9.379999999999995,152.555,1.227,0.828
2024,Uttar Pradesh,Bareilly,Army Public School,440303,797,25,0,215.28,163.0,192.71,137,217.16,163,0.0,0.03136762860727729,-1.8799999999999955,22.569999999999993,161.833,1.094,0.344
2024,Uttar Pradesh,Noida/Greater Noida,Aspam Scottish School Noida,441017,362,16,0,195.6,119.0,192.71,137,217.16,163,0.0,0.04419889502762431,-21.560000000000002,2.8899999999999864,181.725,1.178,0.29
2024,Uttar Pradesh,Jaunpur,Uma Nath Singh Hr. Sec. School Shankarganj,444101,938,13,0,190.96,146.0,192.71,137,217.16,163,0.0,0.013859275053304905,-26.19999999999999,-1.75,149.05,1.133,0.546
2024,Uttar Pradesh,Moradabad,Kendriya Vidyalaya,444905,584,15,0,183.45,130.5,192.71,137,217.16,163,0.0,0.025684931506849314,-33.71000000000001,-9.26000000000002,150.853,1.238,0.845
2024,Uttar Pradesh,Agra,Agra Public School 8-10 Old Vijay Nagar Colony A,440109,469,17,0,237.17,192.0,192.71,137,217.16,163,0.0,0.03624733475479744,20.00999999999999,44.45999999999998,166.89,0.87,-0.093
2024,Uttar Pradesh,Jaunpur,Holy Child Academy,444106,526,2,0,120.06,83.5,192.71,137,217.16,163,0.0,0.0038022813688212928,-97.1,-72.65,113.508,1.874,3.623
2024,Uttar Pradesh,Noida/Greater Noida,Apeejay School Noida,441010,503,26,0,250.14,208.0,192.71,137,217.16,163,0.0,0.05168986083499006,32.97999999999999,57.42999999999998,168.812,0.878,-0.168
2024,Uttar Pradesh,Bareilly,Vidya World Public School Bareilly,440304,775,21,0,214.29,166.0,192.71,137,217.16,163,0.0,0.027096774193548386,-2.8700000000000045,21.579999999999984,156.139,1.0,0.209
2024,Uttar Pradesh,Ballia,"R. K. Mission School Sagarpali, Ballia (U.P.)",442205,351,3,0,104.92,79.0,192.71,137,217.16,163,0.0,0.008547008547008548,-112.24,-87.79,98.221,2.491,7.909
2024,Uttar Pradesh,Noida/Greater Noida,Apeejay International School,441019,336,13,1,147.6,85.5,192.71,137,217.16,163,0.002976190476190476,0.041666666666666664,-69.56,-45.110000000000014,158.39,1.879,2.89
2024,Uttar Pradesh,Meerut,R S M S Vidya Mandir Madhav Kunj Meerut Up,440903,653,20,2,219.62,169.0,192.71,137,217.16,163,0.0030627871362940277,0.033690658499234305,2.460000000000008,26.909999999999997,158.953,0.985,0.177
2024,Uttar Pradesh,Budaun,Blooming Dale School,442802,604,14,1,208.79,161.0,192.71,137,217.16,163,0.0016556291390728477,0.024834437086092714,-8.370000000000005,16.079999999999984,154.966,1.05,0.338
2024,Uttar Pradesh,Kushinagar,Heritage International Public School,444302,688,10,0,172.73,127.0,192.71,137,217.16,163,0.0,0.014534883720930232,-44.43000000000001,-19.980000000000018,139.089,1.412,1.612
2024,Uttar Pradesh,Bahjoi,Anglo Vedic Convent School,442001,522,16,0,224.37,172.0,192.71,137,217.16,163,0.0,0.03065134099616858,7.210000000000008,31.659999999999997,162.911,0.946,-0.017
2024,Uttar Pradesh,Budaun,Aps International School,442805,685,4,0,114.24,79.0,192.71,137,217.16,163,0.0,0.00583941605839416,-102.92,-78.47000000000001,109.372,2.271,5.814
2024,Uttar Pradesh,Meerut,Bds International School,440904,579,28,1,225.9,175.0,192.71,137,217.16,163,0.0017271157167530224,0.05008635578583765,8.740000000000009,33.19,169.178,1.073,0.26
2024,Uttar Pradesh,Jaunpur,Mount Litera Zee School,444108,466,3,0,112.85,84.5,192.71,137,217.16,163,0.0,0.006437768240343348,-104.31,-79.86000000000001,103.053,2.241,6.512
2024,Uttar Pradesh,Agra,St Marks Public School,440107,496,23,0,238.54,189.5,192.71,137,217.16,163,0.0,0.046370967741935484,21.379999999999995,45.829999999999984,170.821,0.817,-0.307
2024,Uttar Pradesh,Muzaffarnagar,Golden Public School,445011,341,7,0,124.9,80.0,192.71,137,217.16,163,0.0,0.020527859237536656,-92.25999999999999,-67.81,129.066,2.246,5.248
2024,Uttar Pradesh,Kushinagar,Seth Mr Jaipuria Padrauna,444305,581,1,0,107.28,79.0,192.71,137,217.16,163,0.0,0.0017211703958691911,-109.88,-85.43,95.857,2.311,6.331
2024,Uttar Pradesh,Gonda,St. Xaviers Sr. Sec. School,443604,584,8,0,140.07,92.0,192.71,137,217.16,163,0.0,0.0136986301369863,-77.09,-52.640000000000015,128.247,1.805,3.415
